Date,Value,Anomaly
190001,34.11,3.99
190002,30.76,-3.06
190003,41.27,-0.23
190004,51.6,0.56
190005,61.72,1.53
190006,70.27,1.8
190007,73.11,-0.48
190008,72.84,0.76
190009,65.12,0.28
190010,56.35,2.25
190011,41.54,-0.15
190012,34.48,1.8
202001,35.53,5.41
202002,36.16,2.34
202003,46.08,4.58
202004,50.86,-0.18
202005,60.89,0.7
202006,70.27,1.8
202007,75.63,2.04
202008,74.68,2.6
202009,65.89,1.05
202010,54.28,0.18
202011,46.31,4.62
202012,35.71,3.03
