,Value,Anomaly,Year,Month
96,24.450000000000003,2.33,1908,January
97,24.990000000000002,-0.83,1908,February
98,35.9,2.4,1908,March
99,44.74,1.7,1908,April
100,50.8,-1.39,1908,May
101,58.900000000000006,-1.57,1908,June
102,65.17,-0.42,1908,July
103,62.66,-1.42,1908,August
104,57.56999999999999,0.73,1908,September
105,43.76,-2.34,1908,October
106,34.53,0.84,1908,November
107,25.310000000000002,0.63,1908,December
