,Value,Anomaly,Year,Month
24,26.06,-0.06,1902,January
25,27.46,-2.36,1902,February
26,37.56,0.06,1902,March
27,46.85,-0.19,1902,April
28,57.97,1.78,1902,May
29,64.0,-0.47,1902,June
30,68.01,-1.58,1902,July
31,67.33,-0.75,1902,August
32,58.74,-2.1,1902,September
33,50.43,0.33,1902,October
34,39.68,1.99,1902,November
35,26.79,-1.89,1902,December
