,Value,Anomaly,Year,Month
1368,42.56,0.44,2014,January
1369,44.13,-1.69,2014,February
1370,52.51,-0.99,2014,March
1371,63.69,0.65,2014,April
1372,73.27000000000001,1.08,2014,May
1373,81.57,1.1,2014,June
1374,85.27,-0.32,2014,July
1375,84.21,0.13,2014,August
1376,78.16,1.32,2014,September
1377,68.91,2.81,2014,October
1378,51.25,-2.44,2014,November
1379,48.81,4.13,2014,December
