,Value,Anomaly,Year,Month
72,32.88,2.76,1906,January
73,33.69,-0.13,1906,February
74,36.1,-5.4,1906,March
75,52.72,1.68,1906,April
76,59.56,-0.63,1906,May
77,67.3,-1.17,1906,June
78,72.34,-1.25,1906,July
79,71.82,-0.26,1906,August
80,66.24,1.4,1906,September
81,52.52,-1.58,1906,October
82,40.44,-1.25,1906,November
83,34.97,2.29,1906,December
