,Value,Anomaly,Year,Month
1344,36.12,6.0,2012,January
1345,37.51,3.69,2012,February
1346,50.4,8.9,2012,March
1347,54.68,3.64,2012,April
1348,63.43,3.24,2012,May
1349,70.52,2.05,2012,June
1350,76.73,3.14,2012,July
1351,73.78,1.7,2012,August
1352,66.29,1.45,2012,September
1353,53.89,-0.21,2012,October
1354,44.01,2.32,2012,November
1355,35.92,3.24,2012,December
