,Value,Anomaly,Year,Month
456,41.14,2.02,1938,January
457,45.0,2.18,1938,February
458,54.0,3.5,1938,March
459,60.71,0.67,1938,April
460,68.83,-0.36,1938,May
461,77.76,0.29,1938,June
462,82.74,0.15,1938,July
463,82.71,1.63,1938,August
464,75.61,1.77,1938,September
465,65.39,2.29,1938,October
466,48.92,-1.77,1938,November
467,43.21,1.53,1938,December
