,Value,Anomaly,Year,Month
1056,34.79,-2.33,1988,January
1057,40.69,-0.13,1988,February
1058,49.4,0.9,1988,March
1059,58.8,0.76,1988,April
1060,68.2,1.01,1988,May
1061,77.84,2.37,1988,June
1062,81.77,1.18,1988,July
1063,80.65,1.57,1988,August
1064,71.58,-0.26,1988,September
1065,60.94,-0.16,1988,October
1066,50.29,1.6,1988,November
1067,40.46,0.78,1988,December
