,Value,Anomaly,Year,Month
1008,22.83,-1.29,1984,January
1009,31.380000000000003,3.56,1984,February
1010,34.08,-1.42,1984,March
1011,43.59,-1.45,1984,April
1012,54.06,-0.13,1984,May
1013,62.59,0.12,1984,June
1014,67.15,-0.44,1984,July
1015,67.11,1.03,1984,August
1016,57.12,-1.72,1984,September
1017,47.6,-0.5,1984,October
1018,35.54,-0.15,1984,November
1019,28.54,1.86,1984,December
