,Value,Anomaly,Year,Month
120,15.61,-0.51,1910,January
121,15.3,-4.52,1910,February
122,35.42,7.92,1910,March
123,39.6,2.56,1910,April
124,45.2,-0.99,1910,May
125,54.269999999999996,-0.2,1910,June
126,60.099999999999994,0.51,1910,July
127,57.08,-1.0,1910,August
128,51.66,0.82,1910,September
129,41.6,1.5,1910,October
130,27.130000000000003,-0.56,1910,November
131,17.93,-0.75,1910,December
