,Value,Anomaly,Year,Month
360,23.56,-6.56,1930,January
361,40.08,6.26,1930,February
362,40.41,-1.09,1930,March
363,54.39,3.35,1930,April
364,59.22,-0.97,1930,May
365,68.4,-0.07,1930,June
366,75.0,1.41,1930,July
367,72.88,0.8,1930,August
368,65.73,0.89,1930,September
369,51.69,-2.41,1930,October
370,41.09,-0.6,1930,November
371,31.17,-1.51,1930,December
