,Value,Anomaly,Year,Month
1320,30.67,0.55,2010,January
1321,31.8,-2.02,2010,February
1322,43.56,2.06,2010,March
1323,53.24,2.2,2010,April
1324,59.86,-0.33,2010,May
1325,70.47,2.0,2010,June
1326,74.7,1.11,2010,July
1327,74.03,1.95,2010,August
1328,66.47,1.63,2010,September
1329,56.14,2.04,2010,October
1330,42.31,0.62,2010,November
1331,32.47,-0.21,2010,December
