,Value,Anomaly,Year,Month
1440,40.53,5.41,2020,January
1441,41.16,2.34,2020,February
1442,51.08,4.58,2020,March
1443,55.86,-0.18,2020,April
1444,65.89,0.7,2020,May
1445,75.27,1.8,2020,June
1446,80.63,2.04,2020,July
1447,79.68,2.6,2020,August
1448,70.89,1.05,2020,September
1449,59.28,0.18,2020,October
1450,51.31,4.62,2020,November
1451,40.71,3.03,2020,December
