,Value,Anomaly,Year,Month
1392,42.22,2.1,2016,January
1393,49.47,5.65,2016,February
1394,57.48,5.98,2016,March
1395,63.19,2.15,2016,April
1396,70.31,0.12,2016,May
1397,81.74,3.27,2016,June
1398,85.2,1.61,2016,July
1399,83.51,1.43,2016,August
1400,77.1,2.26,2016,September
1401,67.7,3.6,2016,October
1402,57.95,6.26,2016,November
1403,42.95,0.27,2016,December
