,Value,Anomaly,Year,Month
0,34.11,3.99,1900,January
1,30.76,-3.06,1900,February
2,41.27,-0.23,1900,March
3,51.6,0.56,1900,April
4,61.72,1.53,1900,May
5,70.27,1.8,1900,June
6,73.11,-0.48,1900,July
7,72.84,0.76,1900,August
8,65.12,0.28,1900,September
9,56.35,2.25,1900,October
10,41.54,-0.15,1900,November
11,34.48,1.8,1900,December
