,Value,Anomaly,Year,Month
240,29.23,-0.89,1920,January
241,33.69,-0.13,1920,February
242,40.28,-1.22,1920,March
243,46.78,-4.26,1920,April
244,59.29,-0.9,1920,May
245,67.35,-1.12,1920,June
246,72.68,-0.91,1920,July
247,70.61,-1.47,1920,August
248,65.43,0.59,1920,September
249,54.61,0.51,1920,October
250,39.7,-1.99,1920,November
251,33.13,0.45,1920,December
