,Value,Anomaly,Year,Month
1416,32.16,2.04,2018,January
1417,35.51,1.69,2018,February
1418,42.73,1.23,2018,March
1419,49.01,-2.03,2018,April
1420,65.5,5.31,2018,May
1421,71.53,3.06,2018,June
1422,75.43,1.84,2018,July
1423,73.49,1.41,2018,August
1424,67.51,2.67,2018,September
1425,53.71,-0.39,2018,October
1426,40.01,-1.68,2018,November
1427,35.51,2.83,2018,December
