,Value,Anomaly,Year,Month
1224,34.48,4.36,2002,January
1225,36.39,2.57,2002,February
1226,39.54,-1.96,2002,March
1227,53.49,2.45,2002,April
1228,59.27,-0.92,2002,May
1229,70.84,2.37,2002,June
1230,75.83,2.24,2002,July
1231,72.82,0.74,2002,August
1232,66.83,1.99,2002,September
1233,51.82,-2.28,2002,October
1234,41.95,0.26,2002,November
1235,35.08,2.4,2002,December
