,Value,Anomaly,Year,Month
144,24.76,-5.36,1912,January
145,31.08,-2.74,1912,February
146,35.76,-5.74,1912,March
147,50.56,-0.48,1912,April
148,60.46,0.27,1912,May
149,66.69,-1.78,1912,June
150,72.23,-1.36,1912,July
151,70.11,-1.97,1912,August
152,62.71,-2.13,1912,September
153,53.15,-0.95,1912,October
154,42.19,0.5,1912,November
155,32.95,0.27,1912,December
