,Value,Anomaly,Year,Month
168,32.5,4.38,1914,January
169,27.52,-4.3,1914,February
170,38.75,-0.75,1914,March
171,49.03,-0.01,1914,April
172,59.12,0.93,1914,May
173,67.33,0.86,1914,June
174,72.07,0.48,1914,July
175,69.67,-0.41,1914,August
176,62.56,-0.28,1914,September
177,53.22,1.12,1914,October
178,41.41,1.72,1914,November
179,24.78,-5.9,1914,December
