,Value,Anomaly,Year,Month
1032,29.68,4.56,1986,January
1033,30.85,2.03,1986,February
1034,41.18,4.68,1986,March
1035,47.86,1.82,1986,April
1036,56.07,0.88,1986,May
1037,65.39,1.92,1986,June
1038,68.49,-0.1,1986,July
1039,66.69,-0.39,1986,August
1040,58.68,-1.16,1986,September
1041,49.0,-0.1,1986,October
1042,36.4,-0.29,1986,November
1043,29.43,1.75,1986,December
