,Value,Anomaly,Year,Month
1272,38.93,8.81,2006,January
1273,34.83,1.01,2006,February
1274,42.6,1.1,2006,March
1275,55.24,4.2,2006,April
1276,62.26,2.07,2006,May
1277,70.74,2.27,2006,June
1278,76.39,2.8,2006,July
1279,73.38,1.3,2006,August
1280,63.28,-1.56,2006,September
1281,52.57,-1.53,2006,October
1282,44.08,2.39,2006,November
1283,36.57,3.89,2006,December
